address,score,account_age_days,eth_balance,tx_count,tx_success_rate,defi_interactions,token_diversity,malicious_score,mixer_score,delegation_capacity,staked_collateral,reputation_score,delegations_given,delegations_received,delegation_success_rate,zkp_usage,malicious_interactions,mixer_transactions,delegations_out,delegations_in
0x50CBfC0E245bf5f72B301B9C493c624b91aC5E29,850.9056454984723,698.171428284281,9.728400657242162,6851,0.9755057858128208,675,207,0.0,0.0,0.9728400657242162,0.4864200328621081,0.8530607499687549,4,0,0.7999566550902948,0,0,0,2,0
0xE5a50c901a9E610f05c161eB057c6cfa9773e059,742.9161514245611,220.35401651654757,0.8984785626142329,876,0.9658360164187684,120,56,0.0,0.0,0.08984785626142329,0.044923928130711645,0.06923504571904593,4,0,0.954302181852964,0,0,0,1,1
0x39a4b737E614F935033FDC8B4f57C4D79D9223cc,656.5455130040242,85.43840696795284,0.037022118863560695,6,0.9353429384872489,0,0,0.0,0.0,0.0037022118863560697,0.0018511059431780348,0.0,0,0,0.0,0,0,0,0,0
0x9A3CA590b0B8b577814E3DE61967A09e502C08D5,592.4394179784148,311.3902109680868,0.07908122650866654,89,0.8645453742129928,10,8,0.4810128208303194,0.20302956384637258,0.007908122650866654,0.003954061325433327,0.0,0,0,0.0,0,1,0,0,0
0x1639d8AfC67Ab7c712e64a62255466F10060426b,684.7841723914431,820.2096842014914,3.2015780067660056,120,0.9236813733360182,14,4,0.4147037982151752,0.0,0.3201578006766006,0.1600789003383003,0.0,0,0,0.0,0,1,0,0,0
0x314ea774c8eb0b6ab3627C1071CfacF71946b198,765.6082178501472,1790.7370124765596,7.317057296873537,46,0.936043511105096,3,3,0.0,0.0,0.7317057296873537,0.36585286484367685,0.0,0,0,0.0,0,0,0,0,0
0x4431279e893B53C25A25b164461f10f45D62fC82,660.1559892845097,144.4443531375977,0.09040345635005816,9,0.9781772566010342,0,0,0.0,0.0,0.009040345635005815,0.004520172817502908,0.0,0,0,0.0,0,0,0,0,0
0xeFdc3A70fdF7792d0E1469e6dF106506Ed6de5f7,696.0923600167146,165.81237788877675,0.09677543646277549,415,0.9195058264395526,15,12,0.0,0.0,0.009677543646277549,0.0048387718231387745,0.0,0,0,0.0,0,0,0,0,0
0x733DB188818d6a23c30a505a1864984607FcEd7F,724.7085304793907,898.6789177732276,0.0008707942573502714,5573,0.9585402774248285,103,487,0.0,0.0,8.707942573502714e-05,4.353971286751357e-05,0.9267498628718666,1,0,0.8373496317986314,1,0,0,3,1
0x87A952e46Db85De537224Df72E2389dFA3Eeb26f,716.8235653143196,776.3389840059634,7.029471123480652,9,0.9763388865473767,1,0,0.27289653601129193,0.0,0.7029471123480653,0.35147355617403264,0.0,0,0,0.0,0,0,0,0,0
0x8475bEf323B92Bf69D2230023b5f894406C4912D,668.8039820798974,1081.5748099638242,0.08370233860979437,14,0.9275552445718176,0,0,0.0,0.0,0.008370233860979437,0.004185116930489718,0.0,0,0,0.0,0,0,0,0,0
0x5F8A6C66c406F6f847Ed3FC52C43C7a8BB786A76,625.766418997575,173.87259381978848,0.4478147411121014,61,0.9087367080890778,11,2,0.38384832151108517,0.0,0.04478147411121014,0.02239073705560507,0.0,0,0,0.0,0,1,0,0,0
0x4B87b6a85262677bCB4bc259ca694b43A45C17BB,663.1956614953218,302.5265247262302,0.39945910079392444,46,0.8041114606996683,5,3,0.0,0.0,0.039945910079392445,0.019972955039696223,0.0,0,0,0.0,0,0,0,0,0
0x6D9F6CCAFE7751A3A7C1c82e88e6B92019568713,659.267859801793,20.04748336794523,0.06374056935260199,4,0.9836338531688658,0,0,0.0,0.0,0.006374056935260199,0.0031870284676300993,0.0,0,0,0.0,0,0,0,0,0
0xc5AF7d267042ffBdfe86D7EA4CA0AABA8D55d6c2,616.1797852897175,616.5297982801641,0.042404117657744635,562,0.9295179770051482,82,39,0.5932118686744783,0.0,0.004240411765774463,0.0021202058828872316,0.0,0,0,0.0,0,1,0,0,0
